GO:0003008,GO:0005576,GO:0005681,GO:0005737,GO:0005829,GO:0006109,GO:0009887,GO:0016337,GO:0030099,GO:0031224,GO:0043234,GO:0044428,GO:0044459,GO:0048523,GO:1902532,degree,bridgeness
1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,53,0.001139000058174
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,5.19999994139653E-05
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,45,0.001487000030465
1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,267,0.163615003228188
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,154,0.053605999797583
0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,16,1.49999996210681E-05
0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,340,0.271196007728577
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,23,0.000211000005947
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,122,0.408174991607666
0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,128,0.031044000759721
1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,74,0.010480999946594
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0.001075000036508
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,20,9.00000013643876E-05
0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,41,0.000224999996135
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55,0.008073000237346
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,63,0.0011269999668
0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,113,0.00284199998714
0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,400,2.02637410163879
0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,211,0.054039999842644
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0.001077999942936
1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,196,0.059308998286724
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,43,0.00054400000954
1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,78,0.004087999928743
0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,114,0.128335997462273
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,1.10000000859145E-05
0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,319,1.18522500991821
1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,19,0.000341000006301
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,9.99999974737875E-06
1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,104,0.003550000023097
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,3.00000010611257E-06
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,9.20000020414591E-05
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,52,0.000371000001905
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,18,6.1999999161344E-05
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,252,0.113493002951145
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,19,7.00000009601354E-06
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,35,0.000632999988738
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,127,0.041209999471903
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26,0.002011999953538
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,58,0.008933999575675
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,47,0.000246999989031
0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,3,0
1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,129,0.011870999820531
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63,0.211656004190445
1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,99,0.006461000069976
0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,333,0.504514992237091
0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,206,0.151188999414444
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.000120999997307
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0.000299000006635
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,171,0.07226900011301
0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,171,0.028397999703884
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,167,0.005673000123352
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,244,1.61112105846405
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,46,0.002178000053391
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47,0.000570999982301
